RESOLUÃÃO,CTT,UNNAMED: 2,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÁVEL,SITUAÃÃO
20/01/2025,217292,1.0,50% A 80%,ATIVO,ADRIANO,SANTANDER,MARIA BRUNA,RESOLVIDO
02/01/2025,217554,3.0,"R$ 14.000,00",RECEPTIVO,LEANDRO,BRADESCO,ELIZABETE,RESOLVIDO
02/01/2025,208434,1.0,VALORES,RECEPTIVO,LEANDRO,SANTANDER,ALINE,RESOLVIDO
02/01/2025,225394,2.0,VERIFICAR PARCELAMENTO.,RECEPTIVO,ADRIANO,ITAÃ,,RESOLVIDO
03/01/2025,173390,3.0,valores,RECEPTIVO,ADRIANO,PANAMERICANO,VITORIA,RESOLVIDO
03/01/2025,222808,1.0,"14.000,00",RECEPTIVO,LEANDRO,SANTANDER,ALANA,RESOLVIDO
03/01/2025,212050,2.0,VALORES,RECEPTIVO,ADRIANO,SANTANDER,ELIZABETE,RESOLVIDO
07/01/2025,176088,2.0,valores,RECEPTIVO,LEANDRO,SANTANDER,ITAYNNARA,RESOLVIDO
06/01/2025,213667,1.0,valores,RECEPTIVO,ADRIANO,SANTANDER,ITAYNNARA,RESOLVIDO
06/01/2025,205482,3.0,"5.000,00",RECEPTIVO,LEANDRO,ITAÃ,MARIA BRUNA,RESOLVIDO
07/01/2025,181722,2.0,"13.000,00",RECEPTIVO,ADRIANO,ITAÃ,MONYZA,RESOLVIDO
06/01/2025,203056,2.0,valores,RECEPTIVO,LEANDRO,SANTANDER,EDIANE,RESOLVIDO
06/01/2025,187951,2.0,"R$ 38.000,00",RECEPTIVO,ADRIANO,BV FINANCEIRA,JULIA,RESOLVIDO
07/01/2025,120618,1.0,"10.000,00",RECEPTIVO,ADRIANO,BRADESCO,ALANA,RESOLVIDO
03/01/2025,208919,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,FABIANA,RESOLVIDO
08/01/2025,207010,1.0,50% A 80%,ATIVO,LEANDRO,VOLKSWAGEN,JULIA,RESOLVIDO
10/01/2025,222455,1.0,50% A 80%,ATIVO,LEANDRO,BV FINANCEIRA,AMANDA SANTANA,RESOLVIDO
13/01/2025,210364,1.0,50% A 80%,ATIVO,LEANDRO,PANAMERICANO,IZABEL,RESOLVIDO
07/01/2025,140356,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,EDIANE,RESOLVIDO
07/01/2025,219843,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,VICTOR ADRIANO,RESOLVIDO
14/01/2025,105137,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,MARIA BRUNA,RESOLVIDO
15/01/2025,206214,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
08/01/2025,220520,1.0,50% Ã 80%,ATIVO,ADRIANO,PANAMERICANO,JULIA,RESOLVIDO
22/01/2025,35611,1.0,50% Ã 80%,ATIVO,ADRIANO,RENNER,EDIANE,RESOLVIDO
22/01/2025,153774,1.0,50% A 80%,ATIVO,LEANDRO,RENNER,EDIANE,RESOLVIDO
03/01/2025,201253,1.0,"R$ 12.000,00",RECEPTIVO,LEANDRO,SANTANDER,VICTOR ADRIANO,RESOLVIDO
07/01/2025,194230,3.0,"R$ 10.000,00",RECEPTIVO,LEANDRO,SANTANDER,ALINE SALVADOR,RESOLVIDO
08/01/2025,127721,1.0,50% A 80%,ATIVO,FECHADO,BRADESCO,EDIANE,RESOLVIDO
20/01/2025,127734,1.0,50% A 80%,ATIVO,FECHADO,BRADESCO,EDIANE,RESOLVIDO
07/01/2025,166088,1.0,50% A 80%,ATIVO,FECHADO,VOLKSWAGEN,FABIANA,RESOLVIDO
10/01/2025,179153,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,BRUNO MARIANO,RESOLVIDO
02/01/2025,228702,3.0,VALORES,RECEPTIVO,LEANDRO,PANAMERICANO,MONYZA,RESOLVIDO
03/01/2025,176088,2.0,VALORES,RECEPTIVO,LEANDRO,SANTANDER,KATIA,RESOLVIDO
03/01/2025,202329,,"R$ 11.000,00",ATIVO,LEANDRO,BV FINANCEIRA,BRUNO MARIANO,RESOLVIDO
03/01/2025,169688,1.0,"R$ 10.000,00",RECEPTIVO,LEANDRO,PANAMERICANO,VITORIA,RESOLVIDO
06/01/2025,215244,1.0,"R$ 10.000,00",RECEPTIVO,ADRIANO,BRADESCO,GREICY,RESOLVIDO
09/01/2025,203815,2.0,50% A 80%,ATIVO,LEANDRO,BRADESCO,BRUNO MARIANO,RESOLVIDO
13/01/2025,212305,2.0,50% A 80%,ATIVO,LEANDRO,SANTANDER,AMANDA SANTANA,RESOLVIDO
13/01/2025,225000,2.0,"R$ 4.500,00",RECEPTIVO,LEANDRO,BRADESCO,VICTOR ADRIANO,RESOLVIDO
21/01/2025,216296,1.0,"R$ 16.200,00",ATIVO,FECHADO,BRADESCO,AMANDA SANTANA,RESOLVIDO
13/01/2025,107813,1.0,50% A 80%,ATIVO,LEANDRO,VOLKSWAGEN,GREICY,RESOLVIDO
13/01/2025,139473,1.0,50% A 80%,ATIVO,LEANDRO,BRADESCO,JULIANA,RESOLVIDO
